name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
Jarred Vanderbilt,jarred vanderbilt,2018,41.0,2019,0,15,4.6,1.6,1.5333333333333334,0.2,0.4,0.06666666666666667,0.4666666666666667,0.0,0.6,1.2666666666666666,0.4,0.6666666666666666
Tre Jones,tre jones,2020,41.0,2021,0,37,7.27027027027027,2.5405405405405403,0.5675675675675675,1.054054054054054,0.21621621621621623,0.0,0.35135135135135137,0.08108108108108109,1.0,2.108108108108108,0.4594594594594595,0.5135135135135135
Joe Wieskamp,joe wieskamp,2021,41.0,2022,0,29,7.068965517241379,2.103448275862069,0.4827586206896552,0.3103448275862069,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.4827586206896552,0.6896551724137931,1.9310344827586208,0.2413793103448276,0.4482758620689655
E.J. Liddell,ej liddell,2022,41.0,2024,1,8,2.875,0.5,0.625,0.125,0.25,0.25,0.25,0.0,0.125,0.75,0.25,0.25
Koby Brea,koby brea,2025,41.0,2026,0,12,7.083333333333333,3.75,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.0,0.3333333333333333,1.0833333333333333,1.25,3.0,0.16666666666666666,0.16666666666666666
Amari Bailey,amari bailey,2023,41.0,2024,0,10,6.3,2.3,0.9,0.7,0.3,0.0,0.4,0.1,0.8,2.4,0.6,0.7
Adem Bona,adem bona,2024,41.0,2025,0,58,15.689655172413794,5.810344827586207,4.224137931034483,0.46551724137931033,0.4482758620689655,1.1896551724137931,1.0517241379310345,0.0,2.3275862068965516,3.310344827586207,1.1551724137931034,1.7241379310344827
Doron Lamb,doron lamb,2012,42.0,2013,0,47,12.27659574468085,3.276595744680851,0.9787234042553191,0.6808510638297872,0.2765957446808511,0.0,0.5531914893617021,0.2978723404255319,1.2765957446808511,3.4680851063829787,0.425531914893617,0.723404255319149
Nick Johnson,nick johnson,2014,42.0,2015,0,28,9.357142857142858,2.642857142857143,1.3928571428571428,0.39285714285714285,0.25,0.10714285714285714,0.6785714285714286,0.17857142857142858,0.9285714285714286,2.6785714285714284,0.6071428571428571,0.8928571428571429
Isaiah Whitehead,isaiah whitehead,2016,42.0,2017,0,73,22.534246575342465,7.438356164383562,2.5205479452054793,2.6301369863013697,0.5753424657534246,0.4931506849315068,1.9452054794520548,0.6027397260273972,2.7945205479452055,6.958904109589041,1.2465753424657535,1.547945205479452
